Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.025415539489529917,-0.012178726085593027,1
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.019548519335166846,-0.004012280344032321,2
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.017590009223302297,0.008482794239574192,3
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.016980112388486925,0.007539549369567845,4
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,PA_Parvimonas micra,PA,Parvimonas micra,0.016089041112209133,-0.003466687186244968,5
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.010573060484413156,0.008680336199397749,6
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.009065808407543915,6.14137036561994e-06,7
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.008538738884921912,6.575769409218904e-05,8
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,0.008294690911945568,0.0027079427123084484,9
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.008246394029801932,-0.004621756197115586,10
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.0077901771914256615,0.0030260271877993405,11
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.007607112974482218,-0.0006462265695595046,12
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.007427097914536437,0.001832502876212414,13
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.00690644865568294,0.003056361814928904,14
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,Age,covariate,Age,0.00632236374266431,-0.0032891737718367736,15
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.006254316986422277,-0.00454875852741787,16
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.0058787174804613455,0.003430110143648289,17
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.005782534382642455,-0.004567728411514648,18
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.005483082902729532,0.0008484143424001746,19
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.005433335502512838,-0.0014257413104051975,20
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.005367993323418447,-0.0038505224783416596,21
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0050859987064956706,-0.0027535321771357184,22
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.004643744081981396,0.0015443248324291472,23
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Prevotella copri,rCLR,Prevotella copri,0.004544194406567881,0.004234560174179501,24
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.004531459529837374,0.0014215830600836166,25
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004512515826913947,-0.001455767147611846,26
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.004421251091540503,0.0009263386634774556,27
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.004389414485599376,0.002312477183938939,28
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.004373931628869187,0.0008907004607673205,29
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,PA_Bacteroides fragilis,PA,Bacteroides fragilis,0.004348918407567615,-0.0011929136315893631,30
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.004321030594269852,-0.001908705774457327,31
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.004145001672140307,-0.0023239376759955147,32
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,PA_Escherichia coli,PA,Escherichia coli,0.003989693433710509,-0.001362601861654758,33
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.003975420901631588,-0.0024174660784298976,34
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Phocaeicola dorei,rCLR,Phocaeicola dorei,0.0038311716030691263,0.0021361119378552305,35
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.003816473309090831,-0.00040142839785278637,36
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0037978847248555984,0.0015718851352608302,37
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.003753873835256016,-0.0006183669075334628,38
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.0037501079435758285,0.0015585367636570602,39
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.003642832451608255,-0.0011667178954050204,40
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0033507244195673824,0.0005301245900403125,41
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0032804561224968275,-0.0016016634842384594,42
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.0032472117370848813,-0.0006899565048672952,43
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.0031268848071989105,0.0003394184358716682,44
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.00306609199477648,0.0008597285179564545,45
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.0030383299486474,0.0015119148756654957,46
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0030080785592022105,-0.0006715736059119701,47
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Lawsonibacter asaccharolyticus,rCLR,Lawsonibacter asaccharolyticus,0.002977707689571987,-0.0007439590284342388,48
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.0027888258403287996,-0.0014670728300636804,49
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.0027644876670665157,0.0009390481404840877,50
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.002730946618916303,-0.00017390279305506498,51
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.002730394294664409,-0.0021768486647048414,52
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.0027211586938853897,0.0006618171888413473,53
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.0026640937045324256,-0.0007089126007154755,54
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.002552167710425424,0.0013702340330346344,55
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.0025239469182969146,0.00075075369285503,56
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0024986651205601107,0.0019902043361100896,57
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Escherichia coli,rCLR,Escherichia coli,0.0024472136194010597,-0.0010254498119193394,58
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.002306064620795098,-0.0001022201491824252,59
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.0022506796447357732,0.00013348945032203653,60
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.002234296068276808,-0.001297473447921387,61
OnlyFemale,RandomForest,YachidaS_2019,0.6291349170775437,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.00216664513788066,-0.0010841700638568434,62
